Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
3040000,1.1671994,4.0,963.030303030303,2.1171837,20.066705801270224,20.066705801270224,0.024042409,0.016713353,0.0002818262,1.0
3072000,1.1645021,4.0,979.6,2.0914567,20.49124855995178,20.49124855995178,0.022285482,0.015413379,0.0002816414,1.0
3104000,1.1558001,4.0,931.25,1.9059689,19.28699017688632,19.28699017688632,0.042027984,0.01673252,0.00028145657,1.0
3136000,1.1476367,4.0,966.3529411764706,1.9472533,20.239049950066736,20.239049950066736,0.02090684,0.015077101,0.00028127187,1.0
3168000,1.1423837,4.0,987.8181818181819,2.0615008,20.754136128859088,20.754136128859088,0.013834057,0.018185198,0.00028108724,1.0
3200000,1.1517906,4.0,990.5806451612904,2.0852203,20.879944835939714,20.879944835939714,0.024591934,0.016797522,0.00028090217,1.0
3232000,1.1496503,4.0,970.3030303030303,2.085767,20.5746633681384,20.5746633681384,0.012535384,0.016784545,0.00028071742,1.0
3264000,1.1426624,4.0,933.7428571428571,2.1060898,19.579991270814624,19.579991270814624,0.0212559,0.017861592,0.0002805326,1.0
3296000,1.1480436,4.0,954.0294117647059,1.9798883,20.118902849800445,20.118902849800445,0.040188022,0.015819008,0.00028034748,1.0
3328000,1.1389114,4.0,971.8333333333334,2.069909,20.627542926867804,20.627542926867804,0.021505624,0.01638394,0.0002801008,1.0
3360000,1.1327626,4.0,927.1351351351351,2.0209255,19.585818980191206,19.585818980191206,0.017805964,0.017213698,0.00027991587,1.0
